                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                                     date 
                                     520                                     2128                  2.2100000000000000E+000                  1.4200000000000000E-003                  5.3234378921691310E+008                  5.0000000000852441E+002                  6.2390044685471830E+003                  9.8555379652281019E+001                  8.5088018624650115E+000                  1.6016699127961354E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9861439821767461E-001                  6.2420514145826258E-006                  8.8585655954579216E-004                  7.0813863171563884E-006                  1.3344755582928453E-004                  2.2098525969641591E+000                 -1.7717286868348085E-011                  1.3363150338817451E+000                  3.8828348661943811E-004                  8.6999881687869096E-001                  2.4198738378342484E-004                  8.0575208074327455E-004                  1.0278028076707360E-003                  2.9489942780781743E-004                  2.8207646294194055E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2098525847359705E+000                  8.5027993545822067E+000                  2.2098525787161725E+000                  8.4996160875730027E+000                  1.6716853425170932E+005                  1.3669650319932186E+005                  2.2422445175097176E+008                  1.0908720925049873E+002                  1.0904798331730272E+002                  1.8767066587384007E-012                  7.4787840885312615E+000                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.6799785143158226E+016                                    11701                               "gfortran"                                  "8.3.0"                  "x86_64-linux-20190503"                               "20230727" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  2.2098525969641591E+000                  9.2986841071284343E-001                  3.7951181704493311E+000                 -7.9804008626592751E+000                  3.6410711789423513E+000                  7.4747998670366644E-001                  2.5110001329633352E-001                  1.4199999999999768E-003 
                                       2                  2.2098525969629335E+000                  9.2986837192729022E-001                  3.7951260235173909E+000                 -7.9803460410963440E+000                  3.6411339383425068E+000                  7.4747998670366644E-001                  2.5110001329633352E-001                  1.4199999999999768E-003 
                                       3                  2.2098525969605767E+000                  9.2986829737008225E-001                  3.7951395381103339E+000                 -7.9802517463880909E+000                  3.6412418936103466E+000                  7.4747998670366644E-001                  2.5110001329633352E-001                  1.4199999999999768E-003 
                                       4                  2.2098525969567699E+000                  9.2986817695757729E-001                  3.7951628009197536E+000                 -7.9800895767081883E+000                  3.6414275775953917E+000                  7.4747998670366644E-001                  2.5110001329633352E-001                  1.4199999999999768E-003 
                                       5                  2.2098525969499718E+000                  9.2986796201527866E-001                  3.7951932163220423E+000                 -7.9798778497336649E+000                  3.6416700493212195E+000                  7.4747998670366644E-001                  2.5110001329633352E-001                  1.4199999999999768E-003 
                                       6                  2.2098525969429152E+000                  9.2986773899311914E-001                  3.7952457963689818E+000                 -7.9795124687142600E+000                  3.6420885808530383E+000                  7.4747998670366644E-001                  2.5110001329633352E-001                  1.4199999999999768E-003 
                                       7                  2.2098525969260390E+000                  9.2986720609673512E-001                  3.7953750901665710E+000                 -7.9786176029496634E+000                  3.6431141495463484E+000                  7.4747998670366644E-001                  2.5110001329633352E-001                  1.4199999999999768E-003 
                                       8                  2.2098525968841729E+000                  9.2986588679035920E-001                  3.7956079761058761E+000                 -7.9770204321395495E+000                  3.6449467710612180E+000                  7.4747998670366644E-001                  2.5110001329633352E-001                  1.4199999999999768E-003 
                                       9                  2.2098525968207259E+000                  9.2986389474575515E-001                  3.7959741992526035E+000                 -7.9745444853463283E+000                  3.6477930427997629E+000                  7.4747998670366644E-001                  2.5110001329633352E-001                  1.4199999999999768E-003 
                                      10                  2.2098525967197284E+000                  9.2986074170668886E-001                  3.7964467194679323E+000                 -7.9714185176075167E+000                  3.6513969651748535E+000                  7.4747998670366644E-001                  2.5110001329633352E-001                  1.4199999999999768E-003 
                                      11                  2.2098525966109626E+000                  9.2985737040316940E-001                  3.7972506348761201E+000                 -7.9662399778143422E+000                  3.6573890126385624E+000                  7.4747998670366644E-001                  2.5110001329633352E-001                  1.4199999999999768E-003 
                                      12                  2.2098525963671021E+000                  9.2984990104160992E-001                  3.7991017368020943E+000                 -7.9549853429167969E+000                  3.6705189271624548E+000                  7.4747998670366644E-001                  2.5110001329633352E-001                  1.4199999999999768E-003 
                                      13                  2.2098525958211126E+000                  9.2983360408255622E-001                  3.8012019709251339E+000                 -7.9435825612462203E+000                  3.6840541569083300E+000                  7.4747998670366655E-001                  2.5110001329633352E-001                  1.4199999999999768E-003 
                                      14                  2.2098525955276171E+000                  9.2982506994916758E-001                  3.8034353786014234E+000                 -7.9323619672078252E+000                  3.6975468397920377E+000                  7.4747998670366655E-001                  2.5110001329633352E-001                  1.4199999999999768E-003 
                                      15                  2.2098525949578889E+000                  9.2980892484431676E-001                  3.8061704947043569E+000                 -7.9202609934719836E+000                  3.7124362114512239E+000                  7.4747998670366644E-001                  2.5110001329633358E-001                  1.4199999999999768E-003 
                                      16                  2.2098525945435417E+000                  9.2979750451713594E-001                  3.8086215980654625E+000                 -7.9104840057882200E+000                  3.7247166411431358E+000                  7.4747998670366644E-001                  2.5110001329633364E-001                  1.4199999999999768E-003 
                                      17                  2.2098525941205622E+000                  9.2978610489040603E-001                  3.8107317771322249E+000                 -7.9028906796408283E+000                  3.7344689187452560E+000                  7.4747998670366644E-001                  2.5110001329633364E-001                  1.4199999999999768E-003 
                                      18                  2.2098525938615952E+000                  9.2977924606311313E-001                  3.8130615469292430E+000                 -7.8950980199894323E+000                  3.7446490829365282E+000                  7.4747998670366633E-001                  2.5110001329633375E-001                  1.4199999999999768E-003 
                                      19                  2.2098525933922168E+000                  9.2976703470892286E-001                  3.8173326940811569E+000                 -7.8825292235758360E+000                  3.7616070597349323E+000                  7.4747998670366433E-001                  2.5110001329633569E-001                  1.4199999999999768E-003 
                                      20                  2.2098525926099208E+000                  9.2974726083508186E-001                  3.8219786404335445E+000                 -7.8714841387891630E+000                  3.7774471157356726E+000                  7.4747998670366433E-001                  2.5110001329633569E-001                  1.4199999999999768E-003 
                                      21                  2.2098525921783092E+000                  9.2973662395470102E-001                  3.8264165746809109E+000                 -7.8623382989475941E+000                  3.7911933410982814E+000                  7.4747998670366433E-001                  2.5110001329633569E-001                  1.4199999999999768E-003 
                                      22                  2.2098525915201011E+000                  9.2972073928965904E-001                  3.8330632636968405E+000                 -7.8514201122664797E+000                  3.8090441221615028E+000                  7.4747998670366422E-001                  2.5110001329633569E-001                  1.4200000000000879E-003 
                                      23                  2.2098525907108288E+000                  9.2970169153881688E-001                  3.8405664689341585E+000                 -7.8425378500784779E+000                  3.8258221098611083E+000                  7.4747998670366433E-001                  2.5110001329633569E-001                  1.4199999999999768E-003 
                                      24                  2.2098525900849912E+000                  9.2968725781496930E-001                  3.8463635359090902E+000                 -7.8375756617603960E+000                  3.8369408963115252E+000                  7.4747998670366433E-001                  2.5110001329633569E-001                  1.4199999999999768E-003 
                                      25                  2.2098525897289121E+000                  9.2967913818981918E-001                  3.8506899194608479E+000                 -7.8346718797646675E+000                  3.8444756776661446E+000                  7.4747998670366433E-001                  2.5110001329633569E-001                  1.4199999999999768E-003 
                                      26                  2.2098525894052030E+000                  9.2967180551051654E-001                  3.8552164074084905E+000                 -7.8323813742212476E+000                  3.8516492817709880E+000                  7.4747998670366433E-001                  2.5110001329633569E-001                  1.4199999999999768E-003 
                                      27                  2.2098525890707035E+000                  9.2966426787852241E-001                  3.8604918502902712E+000                 -7.8306107347918017E+000                  3.8591656362016913E+000                  7.4747998670366433E-001                  2.5110001329633569E-001                  1.4199999999999768E-003 
                                      28                  2.2098525887038334E+000                  9.2965603398642427E-001                  3.8673933821500981E+000                 -7.8296022611398168E+000                  3.8677928176627647E+000                  7.4747998670366433E-001                  2.5110001329633569E-001                  1.4199999999999768E-003 
                                      29                  2.2098525882506412E+000                  9.2964588565494233E-001                  3.8738108638732891E+000                 -7.8301167409067531E+000                  3.8744853869880771E+000                  7.4747998670366433E-001                  2.5110001329633569E-001                  1.4199999999999768E-003 
                                      30                  2.2098525880564157E+000                  9.2964153099653180E-001                  3.8779562221745798E+000                 -7.8308735420713358E+000                  3.8784521438412702E+000                  7.4747998670366433E-001                  2.5110001329633569E-001                  1.4199999999999768E-003 
                                      31                  2.2098525878621906E+000                  9.2963716861174295E-001                  3.8832204957928842E+000                 -7.8323764031666583E+000                  3.8830348865330229E+000                  7.4747998670366433E-001                  2.5110001329633569E-001                  1.4199999999999768E-003 
                                      32                  2.2098525876032236E+000                  9.2963133173037316E-001                  3.8900344056561691E+000                 -7.8352409493424648E+000                  3.8882140586308993E+000                  7.4747998670366433E-001                  2.5110001329633569E-001                  1.4199999999999768E-003 
                                      33                  2.2098525873442565E+000                  9.2962545598480117E-001                  3.8977534586650382E+000                 -7.8394899839850485E+000                  3.8933324925561457E+000                  7.4747998670366433E-001                  2.5110001329633569E-001                  1.4199999999999768E-003 
                                      34                  2.2098525870852894E+000                  9.2961952222815880E-001                  3.9062577167520693E+000                 -7.8451233953424806E+000                  3.8983915941236948E+000                  7.4747998670366433E-001                  2.5110001329633569E-001                  1.4199999999999768E-003 
